title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,LLM_Decision,LLM_Exclusion_Criterion,LLM_Justification
"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior","Aalst, Wil van der",IEEE Transactions on Services Computing,2013,IEEE Digital Library,525-535,6,"Web services are an emerging technology to implement and integrate business processes within and across enterprises. Service orientation can be used to decompose complex systems into loosely coupled software components that may run remotely. However, the distributed nature of services complicates the design and analysis of service-oriented systems that support end-to-end business processes. Fortunately, services leave trails in so-called event logs and recent breakthroughs in process mining research make it possible to discover, analyze, and improve business processes based on such logs. Recently, the task force on process mining released the process mining manifesto. This manifesto is supported by 53 organizations and 77 process mining experts contributed to it. The active participation from end-users, tool vendors, consultants, analysts, and researchers illustrate the growing significance of process mining as a bridge between data mining and business process modeling. In this paper, we focus on the opportunities and challenges for service mining, i.e., applying process mining techniques to services. We discuss the guiding principles and challenges listed in the process mining manifesto and also highlight challenges specific for service-orientated systems.",,10.1109/TSC.2012.25,,,,Data mining;Web services;Computational modeling;Context;Analytical models;Customer services;Process mining;business process management;service discovery;conformance checking,,1939-1374,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
An architectural style for scalable choreography-based microservice-oriented distributed systems,"Filippone, Gianluca and Pompilio, Claudio and Autili, Marco and Tivoli, Massimo",Computing,2023,Scopus,1933 - 1956,105,"Service choreographies are a versatile approach for building service-based distributed systems. Many approaches can be found in the literature tackling different aspects of service choreographies, such as choreography realizability and conformance checking, distributed coordination, formal choreographic languages, and scalability. As of today, choreography scalability has not been specifically addressed through approaches that also consider coordination issues while still decoupling these two related aspects. Scalability is one of the most important properties to be considered when building distributed systems. It enhances the user-perceived performances and influences the overall dependability of the system. In particular, load scalability allows distributed service-oriented systems to effectively handle varying loads without suffering performance degradation. In this direction, microservice-based systems are able to scale thanks to the possibility of replicating those microservices exposed to growing loads, distributing their workload among different instances. By leveraging on our experience in coordinating service choreographies, in this paper, we propose a layered architectural style that allows to realize scalable microservice-oriented choreographies. The architecture integrates a fully-distributed coordination layer capable of ensuring the correct interactions and a load-balancing layer that allows to balance of coordinated requests. We discuss the properties of the proposed architectural style and evaluate its benefits on user-perceived performances. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.",Article,10.1007/s00607-022-01139-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143627065&doi=10.1007%2Fs00607-022-01139-5&partnerID=40&md5=99268a3d9dd57170a99d75632836bdea,,Distributed systems; Load balancing; Microservices; Scalability,Architecture; Architectural style; Building services; Distributed coordination; Distributed systems; Load-Balancing; Microservice; Perceived performance; Property; Service choreographies; Service-based distributed systems; Scalability,,,,Cited by: 2,UNCLASSIFIED,,
An EFSM-based test generation for validation of SDL specifications,"Wong, W. Eric and Restrepo, Andy and Qi, Yu and Choi, Byoungju",,2008,ACM Digital Library,25–32,,"Existing techniques for testing an SDL specification mainly allow for either black box simulation or conformance testing to verify that the behavior of an implementation matches its corresponding model. However, this relies on the potentially hazardous assumption that the model is completely correct. We propose a test generation framework that can accomplish conformance verification as well as coverage criteria-driven white box testing of the specification itself. This approach builds on earlier work which established how to translate SDL processes into standard EFSMs and identify ""hot spots"" - nodes or edges in the EFSM which should be prioritized during testing to effectively increase coverage. Our technique generates test sequences intended to cover selected hot spots; we address the possible infeasibility of such a test sequence by allowing for its rejection decided by a constraint solver and re-generation of an alternate test sequence to the hot spot. In this paper, we present our EFSM translation and test generation tool and provide a case study demonstrating the effectiveness of our coverage-based test sequence selection.",,10.1145/1370042.1370049,https://doi.org/10.1145/1370042.1370049,,,"EFSM (extended finite state machine), SDL, coverage testing",Association for Computing Machinery,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Reliable Monitoring for Runtime Validation of Choreographies,"von Riegen, Michael and Ritter, Norbert",,2009,IEEE Digital Library,310-315,,"Cross-organizational business processes gain more and more attention in the scientific community. For modeling these processes, choreographies are an adequate solution to describe the observable behavior for each business participant and the corresponding protocols between them. Nevertheless, current approaches mainly focus on modeling and conformance checking before runtime. In contrast, this contribution concentrates on the runtime validation of choreographies and will thus propose a monitoring infrastructure that supports this validation. We will sketch the requirements for a monitoring infrastructure as well as the solutions in order to meet these requirements. Without such a reliable monitoring framework, a runtime validation framework simply would not be able to correctly validate the interactions.",,10.1109/ICIW.2009.52,,,,Monitoring;Runtime;Web services;Service oriented architecture;Instruments;Transport protocols;Collaboration;Web and internet services;Information systems;Business communication;service-oriented architectures;cross-organizational business processes;choreographies;monitoring;validation;interactions,,,,,UNCLASSIFIED,,
Multimedia Content Provisioning Using Service Oriented Architectures,"Brunkhorst, Ingo and Tönnies, Sascha and Balke, Wolf-Tilo",,2008,IEEE Digital Library,262-269,,"Today, multimedia system are still widely realized as monolithic systems. But building such applications using Service-Oriented Architectures — especially for the Processing and Delivery of continous Multimedia data streams— has been a controversial topic since years. As a result, applications in the multimedia domain cannot yet benefit from Web service architectures. Thus, building and maintaining large-scale multimedia applications remains a difficult, costly, time-consuming and challenging problem. In this paper we present our approach for building large scale multimedia systems and compare it with the current state of the art, concentrating on the selection and validation of multimedia service composition.",,10.1109/ICWS.2008.37,,,,Service oriented architecture;Streaming media;Multimedia systems;Web services;Buildings;Large-scale systems;Protocols;TV;Prototypes;IPTV;Multimedia Workflows;Conformance Verification;Validation,,,,,UNCLASSIFIED,,
Software Architecture in Practice: Challenges and Opportunities,"Wan, Zhiyuan and Zhang, Yun and Xia, Xin and Jiang, Yi and Lo, David",,2023,ACM Digital Library,1457–1469,,"Software architecture has been an active research field for nearly four decades, in which previous studies make significant progress such as creating methods and techniques and building tools to support software architecture practice. Despite past efforts, we have little understanding of how practitioners perform software architecture related activities, and what challenges they face. Through interviews with 32 practitioners from 21 organizations across three continents, we identified challenges that practitioners face in software architecture practice during software development and maintenance. We reported on common software architecture activities at software requirements, design, construction and testing, and maintenance stages, as well as corresponding challenges. Our study uncovers that most of these challenges center around management, documentation, tooling and process, and collects recommendations to address these challenges.",,10.1145/3611643.3616367,https://doi.org/10.1145/3611643.3616367,,,"Grounded Theory, Practice, Software Architecture, Software Development and Maintenance",Association for Computing Machinery,,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
Process mining for healthcare decision analytics with micro-costing estimations,"Leemans, Sander J.J. and Partington, Andrew and Karnon, Jonathan and Wynn, Moe T.",Artif. Intell. Med.,2023,ACM Digital Library,,135,"Managing constrained healthcare resources is an important and inescapable role of healthcare decision makers. Allocative decisions are based on downstream consequences of changes to care processes: judging whether the costs involved are offset by the magnitude of the consequences, and therefore whether the change represents value for money. Process mining techniques can inform such decisions by quantitatively discovering, comparing and detailing care processes using recorded data, however the scope of techniques typically excludes anything ‘after-the-process’ i.e., their accumulated costs and resulting consequences. Cost considerations are increasingly incorporated into process mining techniques, but the majority of healthcare costs for service and overhead components are commonly apportioned and recorded at the patient (trace) level, hiding event level detail. Within decision-analysis, event-driven and individual-level simulation models are sometimes used to forecast the expected downstream consequences of process changes, but are expensive to manually operationalise. In this paper, we address both of these gaps within and between process mining and decision analytics, by better linking them together. In particular, we introduce a new type of process model containing trace data that can be used in individual-level or cohort-level decision-analytical model building. Furthermore, we enhance these models with process-based micro-costing estimations. The approach was evaluated with health economics and decision modelling experts, with discussion centred on how the outputs could be used, and how similar information would otherwise be compiled.",,10.1016/j.artmed.2022.102473,https://doi.org/10.1016/j.artmed.2022.102473,,,"Process mining, Decision analytics, Healthcare economics",Elsevier Science Publishers Ltd.,0933-3657,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Gradual Drift Detection in Process Models Using Conformance Metrics,"Gallego-Fontenla, V\'{\i}ctor and Gamallo-Fernandez, Pedro and Vidal, Juan C. and Lama, Manuel",ACM Trans. Knowl. Discov. Data,2025,ACM Digital Library,,19,"Changes, planned or unexpected, are common during the execution of real-life processes. Detecting these changes is a must for optimizing the performance of organizations running such processes. Most of the algorithms present in the state-of-the-art focus on the detection of sudden changes, leaving aside other types of changes. In this article, we will focus on the automatic detection of gradual drifts, a special type of change, in which the cases of two models overlap during a period of time. The proposed algorithm relies on conformance checking metrics to carry out the automatic detection of the changes, performing also a fully automatic classification of these changes into sudden or gradual. The approach has been validated with a synthetic dataset consisting of 120 logs with different distributions of changes, getting better results in terms of detection and classification accuracy, delay, and change region overlapping than the main state-of-the-art algorithms.",,10.1145/3716169,https://doi.org/10.1145/3716169,,,"Business Processes, Concept drift, Gradual drift, Process mining, Conformance checking",Association for Computing Machinery,1556-4681,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Leveraging Petri Nets for&nbsp;Workflow Anomaly Detection in&nbsp;Microservice Architectures,"Kamboj, Priyanka and Artho, Cyrille and Guanciale, Roberto and Jabbarvand, Reyhaneh and Godfrey, Brighten",,2025,ACM Digital Library,219–241,,"Modern microservice architectures pose challenges in understanding and managing the complex workflows within these decentralized services. In particular, it is difficult to identify anomalous behavior that could indicate a bug or attack. We use traces of microservice application activity (requests and responses) to infer a model of the application’s normal behavior. Our approach mines Petri nets to formally represent concurrent operations and their temporal dependencies with a targeted delay injection approach that accurately and efficiently learns these dependencies. The models produced are both explainable and easy to inspect, which offers more transparency and control. Our evaluation shows that injecting delays during model training allows us to achieve perfect model and log fitness (Move-Model and Move-Log fitness of 1) with just 29 traces. In contrast, a straightforward approach requires over 10,000 traces to achieve similar accuracy. Our models successfully identify anomalies in various experiments, such as traces with one missing or multiple missing activities, and reordered sequences to simulate issues in real-world scenarios. Our approach outperforms the state-of-the-art method, demonstrating higher accuracy.",,10.1007/978-3-031-94634-9_11,https://doi.org/10.1007/978-3-031-94634-9_11,,,"Alignments, Cost function, Delay, Microservices, Process mining, Process discovery, Conformance Checking",Springer-Verlag,,,,UNCLASSIFIED,,
Efficiently Computing Alignments: Using the Extended Marking Equation,"van Dongen, Boudewijn F.",,2018,ACM Digital Library,197–214,,"Conformance checking is considered to be anything where observed behaviour needs to be related to already modelled behaviour. Fundamental to conformance checking are alignments which provide a precise relation between a sequence of activities observed in an event log and a execution sequence of a model. However, computing alignments is a complex task, both in time and memory, especially when models contain large amounts of parallelism.When computing alignments for Petri nets, (Integer) Linear Programming problems based on the marking equation are typically used to guide the search. Solving such problems is the main driver for the time complexity of alignments. In this paper, we adopt existing work in such a way that (a) the extended marking equation is used rather than the marking equation and (b) the number of linear problems that is solved is kept at a minimum.To do so, we exploit fundamental properties of the Petri nets and we show that we are able to compute optimal alignments for models for which this was previously infeasible. Furthermore, using a large collection of benchmark models, we empirically show that we improve on the state-of-the-art in terms of time and memory complexity.",,10.1007/978-3-319-98648-7_12,https://doi.org/10.1007/978-3-319-98648-7_12,,,"Alignments, Conformance checking, Process Mining",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
