bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,[Title page],,,2011,IEEE Digital Library,1-5,,The following topics are dealt with: BS-SVM multi-classification model; conformance checking; release management; multi-sensors data fusion; security policies; software engineer behavior analysis measurement process; data clustering support; agile adoption experience; business-related design; interoperability testing; energy-aware backbone construction algorithm; distributed file system; sheep and goat expert system;npost internship management system; multi-bank flash memory storage systems; fair-exchange protocols; udp-based high-speed transport protocols; e-commerce; table tennis game; SOA; collision arbitration protocol; life-cycle oriented design model; computer network virtual lab system design; assertion testing framework; privacy preserving data mining; MJ2-RSA cryptosystem; community health records;traffic simulation system;price uncertainty inventory problem; oil theft signal detection; gesture recognition;text clustering algorithm; timed automata;software structure evaluation; wireless data acquisition system; Web service schema matching; software construction; distributed database systems; software development; object oriented analysis; data mining approach; face detection algorithm; neural networks; data replication; video motion compensation errors; software design; dynamic vehicle scheduling; service oriented architecture; customer satisfaction; e-manufacturing system; cryptanalysis; item-based collaborative filtering method; recommender system; savant middleware; ontology-based mobile publishing framework; high-speed data acquisition system; MAC protocols; safety-critical systems; program slicing algorithm; wireless sensor network; augmented reality; spam detection; image retrieval algorithm; tax income; foreign direct investment; IT outsourcing; enterprise mobile e-business system model; medium-sized and small enterprises; supply chain management; immune intrusion detection system; adaptive wiener filtering; VPN technology; GIS sharing platform and image restoration.,,10.1109/ICSESS.2011.5982490,,,,,,2327-0594,,,,Unclassified,
,A runtime monitoring and validation framework for Web service interactions,"Li, Z. and Jin, Y. and Han, J.",,2006,IEEE Digital Library,10 pp.-79,,"Web services are designed for composition and use by third parties through dynamic discovery. As such, the issue of interoperability between services is of great importance to ensure that the services can work together towards the overall application goals. In particular, the interaction protocols of a service need to be implemented and used properly so that the service composition can conduct itself in an orderly fashion. In our previous work, we have proposed a lightweight, pattern/constraint-based approach to specifying service interaction protocols. It has been incorporated into OWL-S for service developers to describe service interaction constraints. In this paper, we present a framework for monitoring the run-time interaction behaviour of Web services and validating the behaviour against their pre-defined interaction constraints. The framework involves interception of service interactions/messages, representation of interaction constraints using finite state automata, and conformance checking of service interactions against interaction constraints. As such, the framework provides a useful tool for validating the implementation and use of services regarding their interaction behaviour",,10.1109/ASWEC.2006.6,,,,Runtime;Monitoring;Web services;Protocols;Australia;Automata;Contracts;Service oriented architecture;Bridges;Software engineering,,2377-5408,,,,Unclassified,
,Distributed Estimation of Power System Oscillation Modes Under Attacks on GPS Clocks,"Wang, Yongqiang and Hespanha, João P.",IEEE Transactions on Instrumentation and Measurement,2018,IEEE Digital Library,1626-1637,67,"Phasor measurement units (PMUs) are playing an increasingly important role in wide-area monitoring and the control of power systems. PMUs allow synchronous real-time measurements of voltage, phase angle, and frequency from multiple remote locations in the grid, enabled by their ability to align to global positioning system (GPS) clocks. Given that this ability is vulnerable to GPS spoofing attacks, which have been confirmed easy to launch, in this paper, we propose a distributed real-time wide-area oscillation estimation approach that is robust to GPS spoofing on PMUs and their associated phasor data concentrators. The approach employs the idea of checking update consistency with histories and across distributed nodes and can tolerate up to one third of compromised nodes. It can be implemented in a completely decentralized architecture and in a completely asynchronous way. The effectiveness of the approach is confirmed by numerical simulations of the IEEE 68-bus power system models.",,10.1109/TIM.2018.2801018,,,,Global Positioning System;Phasor measurement units;Oscillators;Estimation;Power systems;Computer architecture;Mathematical model;Cyber attacks;distributed optimization;global position system (GPS) spoofing;synchrophasors;wide-area monitoring,,1557-9662,,,,Unclassified,
,Mining and checking web services behavior,"Wan, Xiaomin and Mao, Xiaoguang and Dai, Ziying",,2012,IEEE Digital Library,1004-1009,,"As an emerging paradigm for architecting, service-oriented computing plays a more and more important role in information technology. To ensure that web services are working according with the expectation, the research in service behavior about interactions between services is crucial to guarantee no deviation from specification. To detect these deviations, we propose a method to mine and check web service behavior. The method attempts to apply process mining to interactions between services in order to narrow the gap between service consumers and providers. By observing executions of services, we present three levels of abstraction on service behavior: internal behavior, external behavior and workflow behavior. Then we outline the approach to extract behavioral model that provides specification to the activity of service checking. Finally the framework of service behavior checking is presented.",,10.1109/INDIN.2012.6301239,,,,Data mining;Customer services;Simple object access protocol;Automata;Computational modeling;web service mining;conformance checking;web services;behavioral model,,2378-363X,,,,Unclassified,
,Automatic Component Protocol Generation and Verification of Components,"Both, Andreas and Richter, Dirk",,2010,IEEE Digital Library,94-101,,"In several works a method was suggested to overcome the lack of signature-based composition currently enabled in component-based and service-oriented architectures (SOA). Several approaches allow to encode non-functional properties of a single component in a contract (component protocol) where the remote calls to a component are taken into consideration. Component protocols ensures that bugs or unsafe behavior caused interaction sequences are obeyed. Encoding business rules works fine as these contracts can be derived from human knowledge only and have to be defined manually, too. In this work we will show, how such unsafe behavior within source code can be discovered and prevented by automatic component protocol generation and model checking techniques.",,10.1109/SEAA.2010.30,,,,Protocols;Java;Contracts;Computational modeling;Software;Unified modeling language;Motorcycles;component-based software engineering;protocol generation;protocol conformance checking;verification;model checking;component composition,,2376-9505,,,,Unclassified,
,Continuous Conformance of Software Architectures,"Bucaioni, Alessio and Di Salle, Amleto and Iovino, Ludovico and Mariani, Leonardo and Pelliccione, Patrizio",,2024,IEEE Digital Library,112-122,,"Software architectures are pivotal in the success of software-intensive systems and serve as foundational elements that significantly impact the overall software quality. Reference architectures abstract software elements, define main responsibilities and interactions within a domain, and guide the architectural design of new systems. Using reference architectures offers advantages like enhanced interoperability, cost reduction through reusability, decreased project risks, improved communication, and adherence to best practices. However, these benefits are most pronounced when software architectures align with reference architectures. Deviations from prescribed reference architectures can nullify these benefits. Uncontrolled misalignment can become prohibitively expensive, necessitating costly redevelopments, with maintenance costs reaching up to 90% of development costs. Conformance-checking processes and identifying and resolving violations in the software architecture are essential to mitigate misalignment. To address these challenges, we introduce the concept of continuous conformance that is expressed as a distance function, together with a process supporting it. Continuous conformance quantifies the degree to which a software architecture adheres to a designated reference architecture. The conformance concept enables multi-level, incremental, and non-blocking checking and restoration tasks and allows the check of partial architectures without obstructing the design process. We operationalize this process through an assistive modeling tool to architect an Internet of things-based system.",,10.1109/ICSA59870.2024.00019,,,,Costs;Software architecture;Computer architecture;Software quality;Maintenance;Internet;Task analysis;Reference architecture;conformance;modeling assistant,,2835-7043,,,,Unclassified,
,Network Management,,,2015,IEEE Digital Library,259-278,,"This chapter looks more specifically at how the planning and optimization functions affect network management. Network management consists of element management systems (EMS) and actual network management systems (NMS). The NMS provides the following functionality: fault management, performance management, configuration management (CM), optimization and, lately, self&#x2010;organizing network (SON). The chapter discusses these management areas. Fault management provides a mechanism for operation and maintenance (O&amp;M) connection supervision in the form of a heartbeat signal. Combined radio and backhaul measurement reporting helps to locate bottlenecks and enables accurate and efficient optimization and planning cycles to be set up for the network. NMS provides multiple interfaces for integrating the NMS as part of the operator tool chain, and in the case of CM the most important interface is the network&#x2010;planning interface. The planning of NMS is a part of the network operation and maintenance function and part of the whole mobile network planning.",,10.1002/9781118924655.ch7,https://ieeexplore-ieee-org.ez31.periodicos.capes.gov.br/document/8043716,,,Long Term Evolution;Mobile computing;Optimization;Planning;Tools;Land mobile radio,Wiley,,,,,Unclassified,
,Unifying domain ontology with agent-oriented modeling of services,"Jin, Zhi and Zhu, Hong",,2011,IEEE Digital Library,31-42,,"Modeling plays a crucial role in model-driven development of service-oriented systems. This paper proposes a framework for service-oriented modeling that combines an agent-oriented software development methodology with an ontology-based domain analysis technique. It aims at improving the dynamic composability of services at requirements and design stages through modeling. The framework consists of an architectural structure of service models and a process of modeling. The architecture combines agent-oriented models of software systems in which service providers and requesters are regarded as autonomous entities (and called agents), and domain ontology, which specifies the entities in the application domain and their dynamic behaviors. The domain ontology extends classic ontology by including causal and symbolic entities as well as autonomous entities. The approach is illustrated by an example of online auction service.",,10.1109/SOSE.2011.6139090,,,,Ontologies;Analytical models;Collaboration;Object oriented modeling;Semantics;Unified modeling language;Software;Service-oriented computing;Software modeling;Service engineering;Software agents;Domain ontology,,,,,,Unclassified,
,Enabling smarter compliance architecture using social networks and cognitive agents,"Azua, M. and Goodman, B. D.",IBM Journal of Research and Development,2011,IEEE Digital Library,11:1-11:11,55,"The advent of cloud computing has made a significant impact on the usage and implementation of cognitive agents. The boundless resources of cloud computing offer cognitive agents a rich platform on which to help build smarter systems. Given the explosive growth of content, cognitive agents are well positioned to make use of this massive amount of information that people struggle to consume and corporations need to manage in order to satisfy new security and compliance regulations. Data collected from several IBM Cloud test platforms with more than 6,000 users and from social software statistics involving 350,000 IBM employees confirm the power of user context and social networking to enable a new generation of cognitive agents. This “position paper” reviews several aspects of the confluence of cloud computing, social software, and cognitive agents.",,10.1147/JRD.2011.2165680,,,,Cloud computing;Investments;Cognitive informatics;Computational modeling;Information services;Electronic publishing;User interfaces,,0018-8646,,,,Unclassified,
,Design for configurability: rethinking interdomain routing policies from the ground up,"Wang, Yi and Avramopoulos, Ioannis and Rexford, Jennifer",IEEE Journal on Selected Areas in Communications,2009,IEEE Digital Library,336-348,27,"Giving ISPs more fine-grain control over interdomain routing policies would help them better manage their networks and offer value-added services to their customers. Unfortunately, the current BGP route-selection process imposes inherent restrictions on the policies an ISP can configure, making many useful policies infeasible. In this paper, we present Morpheus, a routing control platform that is designed for configurability. Morpheus enables a single ISP to safely realize a much broader range of routing policies without requiring changes to the underlying routers or the BGP protocol itself. Morpheus allows network operators to: (1) make flexible trade-offs between policy objectives through a weighted-sum based decision process, (2) realize customer-specific policies by supporting multiple route-selection processes in parallel, and allowing customers to influence the decision processes, and (3) configure the decision processes through a simple and intuitive configuration interface based on the Analytic Hierarchy Process, a decision-theoretic technique for balancing conflicting objectives. We also present the design, implementation, and evaluation of Morpheus as an extension to the XORP software router.",,10.1109/JSAC.2009.090409,,,,"Routing protocols;IP networks;Performance analysis;Scalability;Protection;Internet;Computer science;Laboratories;Computer architecture;Service oriented architecture;BGP, interdomain routing, policy, configuration, analytic hierarchy process (AHP)",,1558-0008,,,,Unclassified,
