bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,"Fast, accurate assembly-level physical verification of 3DIC packages","Hossam, Nermeen and Ferguson, John",,2023,ISI Web of Science,,,"Advanced packaging techniques are critical to ensuring product
performance, function, and cost in the semiconductor industry.
Three-dimensional integrated circuits (3DICs) offer the ultimate
flexibility in product design. However, they are not without their
challenges, bringing packaging technologies to the forefront for
innovation. 3DICs contain multiple stacked die that achieve the required
connectivity through traces on an interposer, or with special vias or
bumps. Independently verifying the physical and connectivity accuracy of
these discrete dies and substrates per their process rules does not
ensure that the overall 2.5D/3D package assembly is correct, or will
perform as expected.
The Calibre 3DSTACK electronic design automation (EDA) tool provides
fast, accurate, assembly-level verification of diedie or die-interposer
interfaces in 3DIC designs. It operates on the interface geometries
between chip designs from multiple process nodes to perform both design
rule checking (DRC) alignment verification and layout vs. schematic
(LVS) connectivity checking of the complete multi-die 2.5D or 3DIC
system. Design engineers can also use the Calibre 3DSTACK tool to
prepare the data required for coupling capacitance extraction, if
required.
In this paper, we explain the differences between traditional 3DIC
physical verification techniques and Calibre 3DSTACK 3DIC assembly
verification, and demonstrate how Calibre 3DSTACK functionality can be
used to resolve many of the challenges of 3DIC physical verification
while ensuring the accuracy and performance of the complete 3DIC design.",Proceedings Paper,10.1109/3DIC57175.2023.10155000,,"Hossam, N (Corresponding Author), Siemens Digital Ind Software, Calibre Design Solut, Cairo, Egypt.
Hossam, Nermeen; Ferguson, John, Siemens Digital Ind Software, Calibre Design Solut, Cairo, Egypt.",,3DIC; chiplet; IC; SoC; IP; physical verification,IEEE,2164-0157,English,"IEEE International 3D Systems Integration Conference (3DIC), Univ Coll
Cork, Cork, IRELAND, MAY 10-12, 2023",,Unclassified,
,A complete design flow for silicon photonics,"Pond, James and Cone, Chris and Chrostowski, Lukas and Klein, Jackson
and Flueckiger, Jonas and Liu, Amy and McGuire, Dylan and Wang, Xu",,2014,ISI Web of Science,,9133,"Broad adoption of silicon photonics technology for photonic integrated
circuits requires standardized design flows that are similar to what is
available for analog and mixed signal electrical circuit design. We have
developed a design flow that combines mature electronic design
automation (EDA) software with optical simulation software.
An essential component of any design flow, whether electrical or
photonic, is the ability to accurately simulate large-scale circuits.
This is particularly important when the behavior of the circuit is not
trivially related to the individual component performance. While this is
clearly the case for electronic circuits consisting of hundreds to
billions of transistors, it is already becoming important in photonic
circuits such as WDM transmitters, where signal cross talk needs to be
considered, as well as optical cross-connect switches. In addition,
optical routing to connect different components requires the
introduction of additional waveguide sections, waveguide bends, and
waveguide crossings, which affect the overall circuit performance.
Manufacturing variability can also have dramatic circuit-level
consequences that need to be simulated. Circuit simulations must rely on
compact models that can accurately represent the behavior of each
component, and the compact model parameters must be extracted from
physical level simulation and experimental results.
We show how large scale circuits can be simulated in both the time and
frequency domains, including the effects of bidirectional and, where
appropriate, multimode and multichannel photonic waveguides. We also
show how active, passive and nonlinear individual components such as
grating couplers, waveguides, splitters, filters, electro-optical
modulators and detectors can be simulated using a combination of
electrical and optical algorithms, and good agreement with experimental
results can be obtained. We then show how parameters, with inclusion of
fabrication process variations, can be extracted for use in the circuit
level simulations. Ultimately, we show how a multi-channel WDM
transceiver can be created, from schematic design to tapeout, using key
features of EDA design flows such as schematic driven layout, design
rule checking and layout versus schematic.",Proceedings Paper,10.1117/12.2052050,,"Pond, J (Corresponding Author), Lumer Solut Inc, 535 Thurlow St, Vancouver, BC V6E 3L2, Canada.
Pond, James; Klein, Jackson; Liu, Amy; McGuire, Dylan; Wang, Xu, Lumer Solut Inc, 535 Thurlow St, Vancouver, BC V6E 3L2, Canada.
Cone, Chris, Mentor Graph Corp, Wilsonville, OR 97070 USA.
Chrostowski, Lukas, Univ British Columbia, Electr \& Comp Engn, Vancouver, BC V6T IZ4, Canada.",,"photonics; simulation; silicon photonics; photonic integrated circuits;
electronic design automation (EDA); design flow; process design kit
(PDK); photonic circuit simulation",SPIE-INT SOC OPTICAL ENGINEERING,0277-786X,English,"4th Conference on Silicon Photonics and Photonic Integrated Circuits,
Brussels, BELGIUM, APR 14-17, 2014",,Unclassified,
,"DRC Violation Prediction After Global Route Through Convolutional Neural
Network","Hung, Wei-Tse and Chen, Yu-Guang and Lin, Jhen-Gang and Yang, Yun-Wei
and Tsai, Cheng-Hong and Chao, Mango Chia-Tso",IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,2023,ISI Web of Science,1425-1438,31,"Design rule checking (DRC) violation (DRV) prediction with early stage
design information can help to reduce the iterations of design procedure
and can speed up the physical-design closure. It is known that
accurately predicting detailed routing-level DRV with information
obtained at global route (GR) stage can significantly speed up the
design closure. However, without sufficient prediction accuracy, the
result may lead to suboptimal design or even longer design time.
Therefore, in this article, we propose two machine-learning frameworks
to predict the detailed routing-level DRV map of a given design. The
first framework is based on the congestion report obtained at global
routing stage, and the second framework considers both the placement
information and the congestion report of global routing. We then compare
the runtime and accuracy of the two models. The proposed frameworks
utilize convolutional neural network as the core technique to train
these prediction models. The training dataset is collected from 15
industrial designs using a leading commercial automatic placement and
routing (APR) tool, and the total number of collected training samples
exceeds 26M. A specialized under-sampling technique is also proposed to
select important training samples for learning, compensate for the
inaccuracy misled by a highly imbalanced training dataset, and speed up
the entire training process. The experimental results demonstrate that
our both models can result in not only a significantly higher accuracy
than previous related works, but also a DRV map visually matching the
actual ones closely. The average runtime of using our learned model from
the first framework to generate a DRV map is only 3\% of global routing,
and the prediction accuracy of our learned model from the second
framework can improve 7.6\% compared to the one from the first
framework. Our proposed framework can be viewed as a simple add-on tool
to a current commercial placement and global router that can efficiently
and effectively generate a more realistic DRV map without really
applying detailed routing.",Article,10.1109/TVLSI.2023.3271932,,"Chen, YG (Corresponding Author), Natl Cent Univ, Dept Elect Engn, Taoyuan 32001, Taiwan.
Hung, Wei-Tse; Lin, Jhen-Gang; Chao, Mango Chia-Tso, Natl Yang Ming Chiao Tung Univ, Inst Elect, Hsinchu 300, Taiwan.
Chen, Yu-Guang; Yang, Yun-Wei, Natl Cent Univ, Dept Elect Engn, Taoyuan 32001, Taiwan.
Tsai, Cheng-Hong, Global Unichip Corp, Hsinchu 300, Taiwan.",,"Design rule checking (DRC); neural networks; physical design (EDA);
physical verification; supervised learning by classification",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1063-8210,English,,,Unclassified,
,"Advanced manufacturing rules check (MRC) for fully-automated assessment
of complex reticle designs - Part II","Straub, J. A. and Aguilar, D. and Buck, P. D. and Dawkins, D. and
Gladhill, R. and Nolke, S. and Riddick, J.",,2006,ISI Web of Science,,6349,"Advanced electronic design automation (EDA) tools, with their
simulation, modeling, design rule checking, and optical proximity
correction capabilities, have facilitated the improvement of first pass
wafer yields. While the data produced by these tools may have been
processed for optimal wafer manufacturing, it is possible for the same
data to be far from ideal for photomask manufacturing, particularly at
lithography and inspection stages, resulting in production delays and
increased costs. The same EDA tools used to produce the data can be used
to detect potential problems for photomask manufacturing in the data.
In the previous paper(1), it was shown how photomask MRC is used to
uncover data related problems prior to automated defect inspection. It
was demonstrated how jobs which are likely to have problems at
inspection could be identified and separated from those which are not.
The use of photomask MRC in production was shown to reduce time lost to
aborted runs and troubleshooting due to data issues.
In this paper, the effectiveness of this photomask MRC program in a high
volume photomask factory over the course of a year as applied to more
than ten thousand jobs will be shown. Statistics on the results of the
MRC runs will be presented along with the associated impact to the
automated defect inspection process. Common design problems will be
shown as well as their impact to mask manufacturing throughput and
productivity. Finally, solutions to the most common and most severe
problems will be offered and discussed.",Proceedings Paper,10.1117/12.686134,,"Straub, JA (Corresponding Author), Toppan Photomasks Inc, 400 Texas Ave, Round Rock, TX 78664 USA.
Straub, J. A.; Aguilar, D.; Dawkins, D.; Riddick, J., Toppan Photomasks Inc, 400 Texas Ave, Round Rock, TX 78664 USA.
Buck, P. D.; Gladhill, R.; Nolke, S., Toppan Photomasks Inc, Gresham, OR 97030 USA.",,"manufacturing rules check; MRC; mask data inspection; mask data
preparation; defect inspection; design for manufacturing",SPIE-INT SOC OPTICAL ENGINEERING,0277-786X,English,"26th Annual BACUS Symposium on Photomask Technology, Monterey, CA, SEP
19-22, 2006",,Unclassified,
,"MCFRoute 2.0: A Redundant Via Insertion Enhanced Concurrent Detailed
Router","Jia, Xiaotao and Cai, Yici and Zhou, Qiang and Yu, Bei",,2016,ISI Web of Science,87-92,,"In modern VLSI design, manufacturing yield and chip performance are
seriously affected by via failure. Redundant via insertion is an
effective technique recommended by foundries to deal with the via
failure. However, due to the extreme scaling of feature size, it is more
and more difficult to resolve redundant via insertion (RVI) with limited
routing resource while obeying complicated design rules. In this paper,
we propose an RVI enhanced concurrent detailed router, MCFRoute 2.0,
which effectively avoids design rule violations through a compact
integer linear programming (ILP) model. The proposed router can not only
route all nets simultaneously but also search for redundant via
positions for all via simultaneously during routing stage. In addition,
it proposes an RVI aware pin access allocation to further improve the
routing performance. Experimental results show that our detailed router
outperforms an industry EDA tool that it improves the redundant via
insertion rate by 21\%, while reducing design rule checking violation
count, total wire length and via count by 47\%, 4\% and 14\%,
respectively.",Proceedings Paper,10.1145/2902961.2902966,,"Jia, XT (Corresponding Author), Tsinghua Univ, Dept Comp Sci Technol, Beijing, Peoples R China.
Jia, XT (Corresponding Author), Chinese Univ Hong Kong, CSE Dept, Hong Kong, NT, Peoples R China.
Jia, Xiaotao; Cai, Yici; Zhou, Qiang, Tsinghua Natl Lab, Informat Sci \& Technol, Beijing, Peoples R China.
Jia, Xiaotao; Cai, Yici; Zhou, Qiang, Tsinghua Univ, Dept Comp Sci Technol, Beijing, Peoples R China.
Jia, Xiaotao; Yu, Bei, Chinese Univ Hong Kong, CSE Dept, Hong Kong, NT, Peoples R China.",,Detailed Routing; ILP; Redundant Via Insertion; Design Rule,IEEE,,English,"26th ACM Great Lakes Symposium on VLSI (GLSVLSI), Boston Univ, Dept 
Elect \& Comp Engn, Boston, MA, MAY 18-20, 2016",,Unclassified,
,"Assessing Architecture Conformance to Security-Related Practices in
Infrastructure as Code Based Deployments","Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbuecher,
Uwe and Leymann, Frank",,2022,ISI Web of Science,123-133,,"Infrastructure as Code (IaC) enables developers and operations teams to
automatically deploy and manage an IT infrastructure via software. Among
other uses, IaC is widely used in the context of continuously released
deployments such as those of microservice and other cloud-based systems.
Although IaC-based deployments have been utilized by many companies,
there are no approaches on checking their conformance to architectural
aspects yet. In this paper, we focus on security-related practices
including observability, access control, and traffic control in
IaC-based deployments. While best practices for this topic have been
documented in some gray literature sources such as practitioners' blogs
and public repositories, approaches enabling automated checking of
conformance to such best practices do not yet exist. We propose a
model-based approach based on generic, technology-independent metrics,
tied to typical architectural design decisions on IaC-based deployments.
With this approach, we can measure conformance to security-related
practices. We demonstrate and assess the validity and appropriateness of
these metrics in assessing a system's conformance to practices through
regression analysis.",Proceedings Paper,10.1109/SCC55611.2022.00029,,"Ntentos, E (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Falazi, Ghareeb; Breitenbuecher, Uwe; Leymann, Frank, Univ Stuttgart, Inst Architecture Applicat Syst, Stuttgart, Germany.",,"Infrastructure as code; metrics; software architecture; modeling; best
practices",IEEE COMPUTER SOC,2474-8137,English,"IEEE International Conference on Services Computing (IEEE SCC),
Barcelona, SPAIN, JUL 11-15, 2022",,Unclassified,
,"A Framework for the Generation of Monitor and Plant Model From Event
Logs Using Process Mining for Formal Verification of Event-Driven
Systems","Xavier, Midhun and Dubinin, Victor and Patil, Sandeep and Vyatkin,
Valeriy",IEEE OPEN JOURNAL OF THE INDUSTRIAL ELECTRONICS SOCIETY,2024,ISI Web of Science,517-534,5,"This article proposes a method for the automatic generation of a plant
model and monitoring using process mining algorithms based on recorded
event logs. The behavioral traces of the system are captured by
recording event logs during plant operation in either manual control
mode or with an automatic controller. Process discovery algorithms are
then applied to extract the logic of the process behavior properties
from the recorded event logs. The result is represented as a Petri net,
which is used to construct the state machine of the plant model and
monitor and is in accordance with the IEC 61499 Standard. The monitor is
implemented as a function block and can be deployed in real time to
trigger an error signal whenever there is a deviation from the actual
process scenario. The plant model and controller are connected in a
closed loop and are used for the formal verification of the system with
the help of the ``fb2smv{''} converter and symbolic model checking tool
NuSMV.",Article,10.1109/OJIES.2024.3406059,,"Vyatkin, V (Corresponding Author), Aalto Univ, Helsinki 02150, Finland.
Xavier, Midhun, Lulea Univ Technol, dependable Commun \& computat Syst, Lulea, Sweden.
Dubinin, Victor; Patil, Sandeep; Vyatkin, Valeriy, Lulea Univ Technol, Lulea, Sweden.
Vyatkin, Valeriy, Aalto Univ, Helsinki 02150, Finland.",,IEC 61499; formal verification; plant model generation; process mining,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,English,,,Unclassified,
,Feasibility Prediction for Rapid IC Design Space Exploration,"Islam, Riadul",ELECTRONICS,2022,ISI Web of Science,,11,"The DARPA POSH program echoes with the research community and identifies
that engineering productivity has fallen behind Moore's law, resulting
in the prohibitive increase in IC design cost at leading technology
nodes. The primary reason is that it requires many computing resources,
expensive tools, and even many days to complete a design implementation.
However, at the end of this process, some designs could not meet the
design constraints and become unroutable, creating a vicious circuit
design cycle. As a result, designers have to re-run the whole process
after design modification. This research applied a machine learning
approach to automatically identify design constraints and design rule
checking (DRC) violation issues and help the designer identify design
constraints with optimal DRCs before the long detailed routing process
through iterative greedy search. The proposed algorithm achieved up to
99.99\% design constraint prediction accuracy and reduced 98.4\% DRC
violations with only a 6.9\% area penalty.",Article,10.3390/electronics11071161,,"Islam, R (Corresponding Author), Univ Maryland Baltimore Cty, Dept Comp Sci \& Elect Engn, Baltimore, MD 21250 USA.
Islam, Riadul, Univ Maryland Baltimore Cty, Dept Comp Sci \& Elect Engn, Baltimore, MD 21250 USA.",,"design rule check; electronic design automation (EDA); decision tree; IC
design; design constraints",MDPI,2079-9292,English,,,Unclassified,
,"Increased reliability in SOA environments through registry-based
conformance testing of Web services","Kourtesis, D. and Ramollari, E. and Dranidis, D. and Paraskakis, I.",PRODUCTION PLANNING \& CONTROL,2010,ISI Web of Science,130-144,21,"Organisations wishing to engage in industrial collaborative networks
will typically seek some guarantees concerning the reliability of their
prospective partners before committing to cooperation. Evaluating
reliability can encompass several aspects, but one of the most crucial
things to consider from a cooperation perspective is whether the
software systems that support the business processes of some
collaborator actually behave as expected. For organisations that rely on
a service-oriented computing infrastructure, this amounts to checking
whether the functionality of the respective services is conformant to a
given behavioural specification. Today's state of the art lacks
standardised methods for creating behavioural specifications of Web
services, and also lacks tools for automating the process of behavioural
conformance checking through testing. This paper presents a concrete
method for creating formal specifications of Web service behaviour and
utilising them within service registries for automated testing of
service implementations in order to verify and certify their
conformance.",Article,10.1080/09537280903441922,,"Kourtesis, D (Corresponding Author), Univ Sheffield, Res Ctr, SEERC, 24 Proxenou Koromila Str, Thessaloniki 54622, Greece.
Kourtesis, D.; Ramollari, E.; Dranidis, D.; Paraskakis, I., Univ Sheffield, Res Ctr, SEERC, Thessaloniki 54622, Greece.
Kourtesis, D.; Ramollari, E.; Dranidis, D.; Paraskakis, I., CITY Coll, Thessaloniki 54622, Greece.
Dranidis, D., Univ Sheffield, Int Fac, Dept Comp Sci, CITY Coll, Thessaloniki 54626, Greece.",,Web services; registry; behavioural conformance; testing,TAYLOR \& FRANCIS LTD,0953-7287,English,,,Unclassified,
,"PROS 2.0: A Plug-In for Routability Optimization and Routed Wirelength
Estimation Using Deep Learning","Chen, Jingsong and Kuang, Jian and Zhao, Guowei and Huang, Dennis J. -H.
and Young, Evangeline F. Y.","IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND
SYSTEMS",2023,ISI Web of Science,164-177,42,"Recently, the topic of how to utilize prior knowledge obtained by
machine-learning (ML) techniques during the EDA flow has been widely
studied. In this article, we study this topic and propose a practical
plug-in named PROS for both routability optimization and routed
wirelength estimation which can be applied in the state-of-the-art
commercial EDA tool or an academic EDA flow with negligible runtime
overhead. PROS consists of three parts: 1) an effective fully
convolutional network (FCN)-based predictor that only utilizes the data
from placement result to forecast global routing (GR) congestion; 2) a
parameter optimizer that can reasonably adjust GR cost parameters based
on the prediction result to generate a better GR solution for detailed
routing (DR); and 3) a convolutional neural network (CNN)-based
wirelength estimator which can report accurate routed wirelength at the
placement stage by using the predicted GR congestion. Experiments show
that on the industrial benchmark suite in the advanced technology node,
PROS can achieve high accuracy of GR congestion prediction and
significantly reduce design rule checking (DRC) violations by 11.65\% on
average, and on the DAC-2012 benchmark suite, PROS can achieve a very
low error rate (1.82\%) for wirelength estimation which greatly
outperforms that of FLUTE (21.52\%) by 19.70\%.",Article,10.1109/TCAD.2022.3168259,,"Chen, JS (Corresponding Author), Chinese Univ Hong Kong, Dept Comp Sci \& Engn, Hong Kong, Peoples R China.
Chen, Jingsong; Young, Evangeline F. Y., Chinese Univ Hong Kong, Dept Comp Sci \& Engn, Hong Kong, Peoples R China.
Kuang, Jian; Zhao, Guowei; Huang, Dennis J. -H., Cadence Design Syst, Digital \& Signoff Grp, San Jose, CA 95134 USA.",,Circuit optimization; design automation; deep learning; routing,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0070,English,,,Unclassified,
